request_id,timestamp,state,district,latitude,longitude,category,complaint_text,urgency_level,priority_class,upvotes,infrastructure_gap,budget_required,days_since_last_maintenance,population_density,vulnerability_index,status
CG-10011,2026-08-19,Bihar,Purnia,25.72422,87.44857,Public Safety,নদীর বাঁধ ভেঙে লোকালয়ে জল ঢোকার প্রবল আশঙ্কা দেখা দিয়েছে।,Critical,3,107,74.48,7009562,480,1396.4,0.82,Under Review
CG-10012,2026-08-25,Bihar,Araria,26.17873,87.48194,Energy & Power,বিদ্যুতের ট্রান্সফরমার বিকল হয়ে থাকায় সেচ কাজ বন্ধ হয়ে গেছে।,Critical,3,83,80.48,35313656,45,1111.1,0.89,Under Review
CG-10013,2026-08-11,Bihar,Muzaffarpur,26.07889,85.41965,Energy & Power,"O transformador de energia explodiu, deixando toda a área rural sem eletricidade.",Critical,3,58,57.94,8574732,480,1060.1,0.77,Under Review
CG-10014,2026-08-20,Bihar,Gaya,24.82021,85.04888,Energy & Power,"O transformador de energia explodiu, deixando toda a área rural sem eletricidade.",Medium,1,82,72.16,7425291,31,1259.1,0.78,Under Review
CG-10015,2026-08-14,West Bengal,Malda,24.96101,88.17148,Healthcare,Emergency ambulance cannot reach rural clinic due to submerged access road.,High,2,39,83.45,4659400,187,788.8,0.81,Active
CG-10016,2026-08-18,West Bengal,Murshidabad,24.17954,88.28653,Healthcare,O posto de saúde comunitário está sem médicos e sem medicamentos essenciais.,Medium,1,83,72.25,10283633,94,1540.3,0.78,Under Review
CG-10017,2026-08-12,West Bengal,Purulia,23.32106,86.38856,Healthcare,Emergency ambulance cannot reach rural clinic due to submerged access road.,Critical,3,47,75.64,35866830,480,763.0,0.79,Active
CG-10018,2026-08-26,West Bengal,Paschim Medinipur,22.4452,87.39052,Public Safety,O dique de contenção contra enchentes está sob risco de ruptura iminente.,Critical,3,36,66.29,31319667,480,951.3,0.71,Under Review
CG-10019,2026-08-15,Maharashtra,Gadchiroli,20.15332,79.93233,Healthcare,Maternal care ward ceiling is leaking and power backup is non-functional.,Critical,3,27,84.54,3722765,42,377.2,0.83,Active
CG-10020,2026-08-20,Maharashtra,Nandurbar,21.30758,74.32001,Public Safety,"Rural highway intersection lacks high-mast streetlights, high rate of night crime.",Medium,1,82,71.7,13294539,55,984.8,0.82,Active
CG-10021,2026-08-26,Maharashtra,Yavatmal,20.38809,78.14075,Energy & Power,"High voltage wires snapped and hanging low across school pathway, extreme safety hazard.",Medium,1,55,64.95,40744918,109,827.2,0.72,Active
CG-10022,2026-08-26,Maharashtra,Dhule,20.8683,74.77541,Roads & Transport,ভারী বৃষ্টিতে রাস্তা ভেঙে যোগাযোগ সম্পূর্ণ বিচ্ছিন্ন হয়ে পড়েছে।,Medium,1,68,64.43,23428138,108,885.0,0.65,Under Review
CG-10023,2026-08-02,Odisha,Kalahandi,19.92509,83.23605,Healthcare,Maternal care ward ceiling is leaking and power backup is non-functional.,Critical,3,122,75.24,5582192,72,1377.6,0.86,Active
CG-10024,2026-08-02,Odisha,Rayagada,19.13292,83.41762,Energy & Power,Rural feeder line suffers 18 hours of unscheduled blackouts daily during harvest.,Medium,1,30,62.25,26965858,58,396.7,0.85,Active
CG-10025,2026-08-21,Odisha,Koraput,18.88734,82.72655,Water & Sanitation,"Drinking water pipeline has ruptured, forcing 400 families to drink contaminated groundwater.",Critical,3,60,83.51,28699335,463,737.9,0.84,Active
CG-10026,2026-08-13,Odisha,Nuapada,20.87548,82.53788,Roads & Transport,Dangerous highway crater potholes causing recurring vehicle accidents daily.,Medium,1,67,72.53,26272060,78,731.0,0.83,Under Review
CG-10027,2026-08-28,Rajasthan,Barmer,25.72511,71.37578,Water & Sanitation,"हमारे इलाके में पीने के पानी की पाइपलाइन टूट गई है, लोग गंदा पानी पीने को मजबूर हैं।",Critical,3,108,86.71,8110509,344,1340.3,0.81,Scheduled
CG-10028,2026-08-20,Rajasthan,Jaisalmer,26.93539,70.8472,Energy & Power,"मुख्य बिजली का ट्रांसफॉर्मर तीन हफ्तों से खराब पड़ा है, खेतों में सिंचाई ठप है।",Medium,1,92,78.28,16362430,70,986.9,0.77,Active
CG-10029,2026-08-11,Rajasthan,Banswara,23.54043,74.48416,Healthcare,Maternal care ward ceiling is leaking and power backup is non-functional.,Critical,3,41,78.17,19275955,479,589.7,0.83,Active
CG-10030,2026-08-05,Rajasthan,Dungarpur,23.86496,73.74513,Energy & Power,Rural feeder line suffers 18 hours of unscheduled blackouts daily during harvest.,Medium,1,33,78.43,15257698,38,468.8,0.82,Active
CG-10031,2026-09-05,Chhattisgarh,Bastar,19.08267,81.95815,Energy & Power,"Agricultural distribution 33kV transformer blown, halting village irrigation for weeks.",Critical,3,75,87.85,39826641,42,891.3,0.87,Scheduled
CG-10032,2026-08-24,Chhattisgarh,Dantewada,18.91244,81.40901,Roads & Transport,ভারী বৃষ্টিতে রাস্তা ভেঙে যোগাযোগ সম্পূর্ণ বিচ্ছিন্ন হয়ে পড়েছে।,Critical,3,35,90.35,5642081,47,403.3,0.88,Under Review
CG-10033,2026-08-19,Chhattisgarh,Bijapur,18.74218,80.78623,Digital Infrastructure & DPI,"Common Service Centre (CSC) disconnected due to snapped optical fiber, Aadhaar disabled.",Critical,3,91,85.94,37515096,480,935.5,0.91,Pending Funding
CG-10034,2026-09-02,Chhattisgarh,Sukma,18.38112,81.67869,Public Safety,নদীর বাঁধ ভেঙে লোকালয়ে জল ঢোকার প্রবল আশঙ্কা দেখা দিয়েছে।,Critical,3,45,84.47,31168549,82,475.0,0.9,Pending Funding
CG-10035,2026-09-05,Madhya Pradesh,Chhindwara,22.13759,78.89767,Energy & Power,"O transformador de energia explodiu, deixando toda a área rural sem eletricidade.",Medium,1,42,61.16,40945066,123,629.0,0.69,Under Review
CG-10036,2026-08-14,Madhya Pradesh,Mandla,22.62285,80.41882,Healthcare,Maternal care ward ceiling is leaking and power backup is non-functional.,High,2,112,81.35,1886319,111,1225.4,0.81,Scheduled
CG-10037,2026-08-05,Karnataka,Raichur,16.13147,77.41415,Healthcare,"আমাদের স্বাস্থ্যকেন্দ্রে কোনো ডাক্তার নেই, ওষুধপত্রও পাওয়া যাচ্ছে না।",Medium,1,102,68.21,19362418,110,1212.8,0.73,Pending Funding
CG-10038,2026-08-20,Karnataka,Yadgir,16.81242,77.20165,Digital Infrastructure & DPI,"Common Service Centre (CSC) disconnected due to snapped optical fiber, Aadhaar disabled.",High,2,52,67.43,35909877,197,637.4,0.77,Under Review
CG-10039,2026-08-16,Telangana,Adilabad,19.68582,78.58475,Healthcare,Primary Health Centre has no doctor and medical supplies are exhausted.,Medium,1,69,65.21,16960454,51,760.8,0.75,Pending Funding
CG-10040,2026-08-03,Uttar Pradesh,Bahraich,27.60904,81.59336,Healthcare,O posto de saúde comunitário está sem médicos e sem medicamentos essenciais.,Critical,3,19,83.82,32479410,209,538.7,0.84,Active
CG-10041,2026-08-26,Uttar Pradesh,Sitapur,27.58332,80.62804,Water & Sanitation,Open sewage drain is overflowing into the local market creating severe disease outbreak.,High,2,16,77.11,8218771,122,608.3,0.79,Active
CG-10042,2026-08-05,Uttar Pradesh,Balrampur,27.43304,82.19412,Roads & Transport,Dangerous highway crater potholes causing recurring vehicle accidents daily.,Critical,3,42,87.8,37641751,93,634.8,0.86,Active
CG-10043,2026-08-23,Uttar Pradesh,Shravasti,27.72058,81.97819,Education,"सरकारी प्राथमिक विद्यालय की छत में दरारें हैं, बच्चों की सुरक्षा खतरे में है।",Critical,3,34,91.91,20762346,236,451.7,0.89,Active
CG-10044,2026-08-14,Uttar Pradesh,Gonda,27.15306,81.97245,Education,"सरकारी प्राथमिक विद्यालय की छत में दरारें हैं, बच्चों की सुरक्षा खतरे में है।",High,2,87,89.97,11892821,47,1213.3,0.76,Active
CG-10045,2026-08-22,Uttar Pradesh,Raebareli,26.19907,81.22597,Digital Infrastructure & DPI,"A torre de telecomunicações está inoperante, deixando a vila sem sinal de internet.",Medium,1,80,63.31,22928789,200,1140.5,0.68,Under Review
CG-10046,2026-08-09,Uttar Pradesh,Hardoi,27.32908,80.08457,Roads & Transport,ভারী বৃষ্টিতে রাস্তা ভেঙে যোগাযোগ সম্পূর্ণ বিচ্ছিন্ন হয়ে পড়েছে।,Medium,1,73,70.76,1110415,72,1139.2,0.74,Active
CG-10047,2026-08-31,Uttar Pradesh,Lucknow,26.85366,80.98251,Digital Infrastructure & DPI,অপটিক্যাল ফাইবার সংযোগ বিচ্ছিন্ন হওয়ায় ডিজিটাল পরিষেবা বন্ধ।,Medium,1,71,41.15,20436722,222,1168.9,0.38,Active
CG-10048,2026-08-22,Bihar,Darbhanga,26.17982,85.85921,Energy & Power,বিদ্যুতের ট্রান্সফরমার বিকল হয়ে থাকায় সেচ কাজ বন্ধ হয়ে গেছে।,Critical,3,61,90.08,14010458,249,1003.7,0.88,Active
CG-10049,2026-08-30,Bihar,Katihar,25.51532,87.60181,Education,"सरकारी प्राथमिक विद्यालय की छत में दरारें हैं, बच्चों की सुरक्षा खतरे में है।",Critical,3,73,85.04,39096600,165,1037.1,0.85,Pending Funding
CG-10050,2026-08-30,Bihar,Madhubani,26.35346,86.07377,Healthcare,"আমাদের স্বাস্থ্যকেন্দ্রে কোনো ডাক্তার নেই, ওষুধপত্রও পাওয়া যাচ্ছে না।",Critical,3,53,88.21,7567750,52,978.7,0.87,Under Review
CG-10051,2026-08-09,Bihar,Purnia,25.76629,87.5132,Energy & Power,"Agricultural distribution 33kV transformer blown, halting village irrigation for weeks.",Medium,1,87,73.8,21512080,100,1196.4,0.82,Scheduled
CG-10052,2026-08-21,Bihar,Araria,26.05844,87.5773,Healthcare,O posto de saúde comunitário está sem médicos e sem medicamentos essenciais.,Critical,3,43,90.99,31348189,207,711.1,0.89,Pending Funding
CG-10053,2026-08-17,Bihar,Muzaffarpur,26.10013,85.40551,Education,Digital education lab equipment delivered but no broadband fiber connectivity available.,Medium,1,25,72.15,16407448,132,730.1,0.77,Under Review
CG-10054,2026-09-02,Bihar,Gaya,24.82578,84.96331,Education,Digital education lab equipment delivered but no broadband fiber connectivity available.,High,2,87,76.02,8281825,207,1309.1,0.78,Under Review
CG-10055,2026-08-26,West Bengal,Malda,25.00722,88.24574,Water & Sanitation,"हमारे इलाके में पीने के पानी की पाइपलाइन टूट गई है, लोग गंदा पानी पीने को मजबूर हैं।",Critical,3,56,75.28,38806974,338,958.8,0.81,Active
CG-10056,2026-08-15,West Bengal,Murshidabad,24.24373,88.24955,Water & Sanitation,"Drinking water pipeline has ruptured, forcing 400 families to drink contaminated groundwater.",Critical,3,60,67.16,25160547,480,1310.3,0.78,Active
CG-10057,2026-08-22,West Bengal,Purulia,23.34901,86.41275,Water & Sanitation,"Deep borewell pump burned out three weeks ago, acute water crisis in village.",Critical,3,33,71.54,38640334,328,623.0,0.79,Active
CG-10058,2026-09-05,West Bengal,Paschim Medinipur,22.31212,87.31783,Digital Infrastructure & DPI,"Common Service Centre (CSC) disconnected due to snapped optical fiber, Aadhaar disabled.",Medium,1,63,63.51,4316406,160,1221.3,0.71,Active
CG-10059,2026-08-28,Maharashtra,Gadchiroli,20.1487,80.02697,Education,A escola pública está com a estrutura danificada e sem saneamento para os alunos.,Critical,3,57,79.91,3507195,61,677.2,0.83,Active
CG-10060,2026-08-15,Maharashtra,Nandurbar,21.41984,74.15706,Energy & Power,"Agricultural distribution 33kV transformer blown, halting village irrigation for weeks.",Critical,3,42,76.84,27332781,326,584.8,0.82,Active
CG-10061,2026-09-01,Maharashtra,Yavatmal,20.37973,78.16097,Energy & Power,"मुख्य बिजली का ट्रांसफॉर्मर तीन हफ्तों से खराब पड़ा है, खेतों में सिंचाई ठप है।",Medium,1,65,57.56,24261072,62,927.2,0.72,Under Review
CG-10062,2026-08-05,Maharashtra,Dhule,20.94999,74.79681,Roads & Transport,A ponte de concreto desabou e a estrada rural está completamente intransitável.,Medium,1,34,59.75,35742877,88,545.0,0.65,Scheduled
CG-10063,2026-08-14,Odisha,Kalahandi,19.91909,83.19992,Water & Sanitation,"हमारे इलाके में पीने के पानी की पाइपलाइन टूट गई है, लोग गंदा पानी पीने को मजबूर हैं।",Critical,3,49,89.23,32681982,97,647.6,0.86,Scheduled
CG-10064,2026-08-20,Odisha,Rayagada,19.1482,83.43597,Water & Sanitation,"हमारे इलाके में पीने के पानी की पाइपलाइन टूट गई है, लोग गंदा पानी पीने को मजबूर हैं।",Critical,3,84,81.47,11869507,367,936.7,0.85,Under Review
CG-10065,2026-08-15,Odisha,Koraput,18.76997,82.78416,Roads & Transport,A ponte de concreto desabou e a estrada rural está completamente intransitável.,Critical,3,97,86.72,3567626,289,1107.9,0.84,Active
CG-10066,2026-08-15,Odisha,Nuapada,20.81303,82.49415,Education,"सरकारी प्राथमिक विद्यालय की छत में दरारें हैं, बच्चों की सुरक्षा खतरे में है।",Critical,3,34,84.87,35330006,73,401.0,0.83,Scheduled
CG-10067,2026-08-11,Rajasthan,Barmer,25.77071,71.36097,Water & Sanitation,"हमारे इलाके में पीने के पानी की पाइपलाइन टूट गई है, लोग गंदा पानी पीने को मजबूर हैं।",High,2,33,82.12,30424691,72,590.3,0.81,Under Review
CG-10068,2026-08-13,Rajasthan,Jaisalmer,26.91371,70.86354,Public Safety,O dique de contenção contra enchentes está sob risco de ruptura iminente.,Medium,1,16,78.99,20338577,56,226.9,0.77,Active
CG-10069,2026-08-04,Rajasthan,Banswara,23.52492,74.5225,Healthcare,Maternal care ward ceiling is leaking and power backup is non-functional.,Critical,3,36,84.05,15672124,270,539.7,0.83,Pending Funding
CG-10070,2026-08-02,Rajasthan,Dungarpur,23.8487,73.79783,Education,"सरकारी प्राथमिक विद्यालय की छत में दरारें हैं, बच्चों की सुरक्षा खतरे में है।",High,2,107,82.65,29358818,243,1208.8,0.82,Under Review
CG-10071,2026-08-31,Chhattisgarh,Bastar,19.11086,81.89893,Healthcare,Primary Health Centre has no doctor and medical supplies are exhausted.,Critical,3,104,78.01,36316157,417,1181.3,0.87,Active
CG-10072,2026-08-12,Chhattisgarh,Dantewada,18.84379,81.37004,Healthcare,O posto de saúde comunitário está sem médicos e sem medicamentos essenciais.,Critical,3,87,78.95,33377794,223,923.3,0.88,Under Review
CG-10073,2026-08-27,Chhattisgarh,Bijapur,18.80329,80.86262,Water & Sanitation,"Deep borewell pump burned out three weeks ago, acute water crisis in village.",Critical,3,105,84.9,18159908,128,1075.5,0.91,Active
CG-10074,2026-08-05,Chhattisgarh,Sukma,18.43145,81.65191,Public Safety,O dique de contenção contra enchentes está sob risco de ruptura iminente.,Critical,3,80,91.3,16935161,78,825.0,0.9,Pending Funding
CG-10075,2026-08-31,Madhya Pradesh,Chhindwara,22.06096,78.93201,Education,সরকারি প্রাথমিক বিদ্যালয়ের ভবন ভেঙে পড়ার আশঙ্কায় ক্লাস বন্ধ।,Critical,3,87,67.66,17345105,381,1079.0,0.69,Active
CG-10076,2026-08-10,Madhya Pradesh,Mandla,22.59487,80.35995,Digital Infrastructure & DPI,ऑप्टिकल फाइबर केबल कटने से जन सेवा केंद्र ठप है और राशन वितरण रुक गया है।,High,2,68,79.71,22431297,179,785.4,0.81,Active
CG-10077,2026-09-04,Karnataka,Raichur,16.17791,77.38532,Healthcare,"আমাদের স্বাস্থ্যকেন্দ্রে কোনো ডাক্তার নেই, ওষুধপত্রও পাওয়া যাচ্ছে না।",High,2,20,70.12,37416420,164,392.8,0.73,Scheduled
CG-10078,2026-08-21,Karnataka,Yadgir,16.73376,77.17899,Healthcare,Maternal care ward ceiling is leaking and power backup is non-functional.,High,2,67,70.99,38148365,144,787.4,0.77,Under Review
CG-10079,2026-08-04,Telangana,Adilabad,19.66629,78.59925,Education,Digital education lab equipment delivered but no broadband fiber connectivity available.,Medium,1,64,68.73,39119722,55,710.8,0.75,Under Review
CG-10080,2026-08-23,Uttar Pradesh,Bahraich,27.55959,81.56416,Healthcare,Maternal care ward ceiling is leaking and power backup is non-functional.,Critical,3,67,78.36,12625971,285,1018.7,0.84,Pending Funding
CG-10081,2026-09-03,Uttar Pradesh,Sitapur,27.59412,80.76943,Public Safety,"नदी का तटबंध टूटने की कगार पर है, बाढ़ से पूरे गांव में पानी घुसने का खतरा है।",High,2,80,72.35,26864021,244,1248.3,0.79,Active
CG-10082,2026-08-14,Uttar Pradesh,Balrampur,27.46008,82.21908,Energy & Power,"मुख्य बिजली का ट्रांसफॉर्मर तीन हफ्तों से खराब पड़ा है, खेतों में सिंचाई ठप है।",Critical,3,51,79.93,25289109,41,724.8,0.86,Active
CG-10083,2026-08-05,Uttar Pradesh,Shravasti,27.69548,81.881,Public Safety,নদীর বাঁধ ভেঙে লোকালয়ে জল ঢোকার প্রবল আশঙ্কা দেখা দিয়েছে।,Critical,3,99,87.33,10278211,292,1101.7,0.89,Scheduled
CG-10084,2026-08-08,Uttar Pradesh,Gonda,27.12542,81.98533,Energy & Power,Rural feeder line suffers 18 hours of unscheduled blackouts daily during harvest.,Medium,1,104,64.14,10274129,78,1383.3,0.76,Active
CG-10085,2026-08-02,Uttar Pradesh,Raebareli,26.22671,81.28469,Energy & Power,"मुख्य बिजली का ट्रांसफॉर्मर तीन हफ्तों से खराब पड़ा है, खेतों में सिंचाई ठप है।",High,2,72,64.06,6207288,251,1060.5,0.68,Pending Funding
CG-10086,2026-09-05,Uttar Pradesh,Hardoi,27.33295,80.15425,Digital Infrastructure & DPI,"Common Service Centre (CSC) disconnected due to snapped optical fiber, Aadhaar disabled.",Medium,1,58,60.48,18649766,56,989.2,0.74,Active
CG-10087,2026-08-06,Uttar Pradesh,Lucknow,26.94559,80.92637,Digital Infrastructure & DPI,ऑप्टिकल फाइबर केबल कटने से जन सेवा केंद्र ठप है और राशन वितरण रुक गया है।,Medium,1,22,47.34,41450498,325,678.9,0.38,Active
CG-10088,2026-08-05,Bihar,Darbhanga,26.14536,85.89288,Energy & Power,"Agricultural distribution 33kV transformer blown, halting village irrigation for weeks.",Critical,3,6,80.25,17153238,43,453.7,0.88,Under Review
CG-10089,2026-08-23,Bihar,Katihar,25.54347,87.56044,Water & Sanitation,"हमारे इलाके में पीने के पानी की पाइपलाइन टूट गई है, लोग गंदा पानी पीने को मजबूर हैं।",Critical,3,73,79.66,39830839,173,1037.1,0.85,Scheduled
CG-10090,2026-08-09,Bihar,Madhubani,26.35458,86.11801,Public Safety,নদীর বাঁধ ভেঙে লোকালয়ে জল ঢোকার প্রবল আশঙ্কা দেখা দিয়েছে।,Critical,3,100,80.01,3286505,184,1448.7,0.87,Active
CG-10091,2026-08-02,Bihar,Purnia,25.79801,87.45235,Water & Sanitation,"পানীয় জলের পাইপলাইন ফেটে গেছে, মানুষ নোংরা জল খেতে বাধ্য হচ্ছে।",High,2,116,75.15,3774574,151,1486.4,0.82,Active
CG-10092,2026-08-18,Bihar,Araria,26.18732,87.55493,Digital Infrastructure & DPI,"Panchayat digital records terminal offline, welfare disbursements delayed by months.",High,2,36,72.51,30680615,99,641.1,0.89,Scheduled
CG-10093,2026-08-14,Bihar,Muzaffarpur,26.06891,85.32805,Digital Infrastructure & DPI,ऑप्टिकल फाइबर केबल कटने से जन सेवा केंद्र ठप है और राशन वितरण रुक गया है।,Medium,1,49,75.68,26860669,70,970.1,0.77,Active
CG-10094,2026-09-04,Bihar,Gaya,24.72948,84.99818,Water & Sanitation,A tubulação de água potável rompeu e a comunidade está sem abastecimento há dias.,Medium,1,87,69.86,16912559,138,1309.1,0.78,Active
CG-10095,2026-08-30,West Bengal,Malda,24.98129,88.15386,Public Safety,River embankment erosion threatening to breach and submerge adjoining village settlements.,Medium,1,57,76.22,14684530,70,968.8,0.81,Active
CG-10096,2026-08-21,West Bengal,Murshidabad,24.12814,88.2095,Healthcare,"আমাদের স্বাস্থ্যকেন্দ্রে কোনো ডাক্তার নেই, ওষুধপত্রও পাওয়া যাচ্ছে না।",Medium,1,95,63.28,36405706,144,1660.3,0.78,Active
CG-10097,2026-09-05,West Bengal,Purulia,23.33194,86.3325,Water & Sanitation,A tubulação de água potável rompeu e a comunidade está sem abastecimento há dias.,Critical,3,32,72.01,6911739,437,613.0,0.79,Pending Funding
CG-10098,2026-08-27,West Bengal,Paschim Medinipur,22.35822,87.34014,Roads & Transport,सड़क टूटी होने से बारिश में अस्पताल और बाजार तक पहुंचना नामुमकिन हो गया है।,Medium,1,51,52.17,39520575,143,1101.3,0.71,Active
CG-10099,2026-09-01,Maharashtra,Gadchiroli,20.22292,79.99344,Healthcare,Maternal care ward ceiling is leaking and power backup is non-functional.,Critical,3,37,83.88,26255306,303,477.2,0.83,Under Review
CG-10100,2026-08-02,Maharashtra,Nandurbar,21.41422,74.28748,Education,Primary government school building structurally degraded with hazardous cracked roof.,High,2,22,82.73,41975845,105,384.8,0.82,Pending Funding
CG-10101,2026-08-29,Maharashtra,Yavatmal,20.40362,78.17741,Energy & Power,Rural feeder line suffers 18 hours of unscheduled blackouts daily during harvest.,Medium,1,67,70.69,32206147,107,947.2,0.72,Active
CG-10102,2026-08-16,Maharashtra,Dhule,20.84638,74.82658,Digital Infrastructure & DPI,"A torre de telecomunicações está inoperante, deixando a vila sem sinal de internet.",Medium,1,105,69.43,23282299,154,1255.0,0.65,Active
CG-10103,2026-08-20,Odisha,Kalahandi,19.88247,83.2601,Digital Infrastructure & DPI,"A torre de telecomunicações está inoperante, deixando a vila sem sinal de internet.",Critical,3,44,89.09,24703101,139,597.6,0.86,Under Review
CG-10104,2026-08-29,Odisha,Rayagada,19.15989,83.43568,Digital Infrastructure & DPI,"A torre de telecomunicações está inoperante, deixando a vila sem sinal de internet.",Critical,3,62,80.57,13460346,46,716.7,0.85,Active
CG-10105,2026-08-07,Odisha,Koraput,18.78133,82.77235,Roads & Transport,"Concrete culvert bridge collapsed under heavy transport, immediate replacement required.",Critical,3,47,73.75,33488379,324,607.9,0.84,Pending Funding
CG-10106,2026-08-15,Odisha,Nuapada,20.83896,82.57457,Energy & Power,"O transformador de energia explodiu, deixando toda a área rural sem eletricidade.",Critical,3,38,80.15,25972416,480,441.0,0.83,Scheduled
CG-10107,2026-08-06,Rajasthan,Barmer,25.71571,71.34767,Healthcare,हमारे प्राथमिक स्वास्थ्य केंद्र में डॉक्टर नहीं हैं और दवाइयां खत्म हो गई हैं।,High,2,73,85.16,18266526,196,990.3,0.81,Active
CG-10108,2026-08-16,Rajasthan,Jaisalmer,26.96468,70.97324,Healthcare,Maternal care ward ceiling is leaking and power backup is non-functional.,Medium,1,51,67.98,17457933,104,576.9,0.77,Under Review
CG-10109,2026-08-14,Rajasthan,Banswara,23.5656,74.49816,Public Safety,"Rural highway intersection lacks high-mast streetlights, high rate of night crime.",Critical,3,50,83.89,17328942,252,679.7,0.83,Active
CG-10110,2026-08-07,Rajasthan,Dungarpur,23.85974,73.75862,Education,Primary government school building structurally degraded with hazardous cracked roof.,Medium,1,43,79.68,19622576,77,568.8,0.82,Active
CG-10111,2026-08-20,Chhattisgarh,Bastar,19.1669,81.96676,Healthcare,O posto de saúde comunitário está sem médicos e sem medicamentos essenciais.,Critical,3,44,80.27,9078467,153,581.3,0.87,Active
CG-10112,2026-08-22,Chhattisgarh,Dantewada,18.80658,81.33003,Energy & Power,"Agricultural distribution 33kV transformer blown, halting village irrigation for weeks.",Critical,3,69,80.68,36425071,197,743.3,0.88,Active
CG-10113,2026-08-18,Chhattisgarh,Bijapur,18.76856,80.76675,Digital Infrastructure & DPI,"Panchayat digital records terminal offline, welfare disbursements delayed by months.",Critical,3,70,76.98,38678949,105,725.5,0.91,Pending Funding
CG-10114,2026-08-13,Chhattisgarh,Sukma,18.38246,81.71665,Water & Sanitation,"Deep borewell pump burned out three weeks ago, acute water crisis in village.",Critical,3,68,90.71,29431984,84,705.0,0.9,Pending Funding
CG-10115,2026-08-03,Madhya Pradesh,Chhindwara,22.049,78.96271,Healthcare,हमारे प्राथमिक स्वास्थ्य केंद्र में डॉक्टर नहीं हैं और दवाइयां खत्म हो गई हैं।,Medium,1,66,74.54,15942418,58,869.0,0.69,Active
CG-10116,2026-08-21,Madhya Pradesh,Mandla,22.60967,80.34122,Healthcare,Emergency ambulance cannot reach rural clinic due to submerged access road.,Medium,1,45,81.25,16722186,30,555.4,0.81,Active
CG-10117,2026-08-30,Karnataka,Raichur,16.17745,77.34356,Water & Sanitation,A tubulação de água potável rompeu e a comunidade está sem abastecimento há dias.,Medium,1,26,66.7,41863910,45,452.8,0.73,Under Review
CG-10118,2026-08-07,Karnataka,Yadgir,16.80802,77.15701,Education,Girls secondary school lacks functional sanitation and clean drinking water facilities.,High,2,68,77.66,20643355,107,797.4,0.77,Active
CG-10119,2026-08-23,Telangana,Adilabad,19.65069,78.48814,Public Safety,"नदी का तटबंध टूटने की कगार पर है, बाढ़ से पूरे गांव में पानी घुसने का खतरा है।",High,2,99,73.32,35173298,201,1060.8,0.75,Active
CG-10120,2026-08-24,Uttar Pradesh,Bahraich,27.51888,81.56701,Healthcare,Emergency ambulance cannot reach rural clinic due to submerged access road.,Critical,3,115,82.44,10831292,76,1498.7,0.84,Scheduled
