Request_ID,State,District,Category,Sub_Category,Citizen_Upvotes,Urgency_Level,GatiShakti_Status,Allocated_Budget_INR,Days_Pending,Infrastructure_Gap_Score
REQ_100037,Maharashtra,Thane,Sanitation & Waste,Clogged Drainage,90.0,Medium,Under Construction,43713540.0,213,2
REQ_100038,MAHARASHTRA,Mumbai Suburban,Roads & Transport,Missing Streetlights,277.0,High,Pipeline,2986558.0,37,5
REQ_100039,Karnataka,Hubli-Dharwad,Power & Energy,,487.0,Medium,No Planned Project,0.0,86,6
REQ_100040,Karnataka,Hubli-Dharwad,Power & Energy,No Electricity Access,84.0,High,Under Construction,30963915.0,188,3
REQ_100041,Telangana,Nizamabad,Water Supply,Irregular Supply,472.0,Medium,Pipeline,2987378.0,159,4
REQ_100042,Uttar Pradesh,Varanasi,Digital & DPI,CSC Center Inaccessible,188.0,Critical,Under Construction,21925348.0,302,4
REQ_100043,Gujarat,,Water Supply,Contaminated Water,91.0,Medium,Under Construction,9817793.0,131,2
REQ_100044,Tamil Nadu,Trichy,Water Supply,Broken Pipeline,415.0,Medium,Pipeline,1461795.0,308,4
REQ_100045,Tamil Nadu,Salem,Digital & DPI,Poor Telecom Connectivity,339.0,Low,Pipeline,3957977.0,245,3
REQ_100046,Gujarat,Ahmedabad,Roads & Transport,Missing Streetlights,144.0,High,No Planned Project,0.0,82,7
REQ_100047,Telangana,Warangal,Power & Energy,Frequent Load Shedding,474.0,Medium,No Planned Project,465062.0,96,6
REQ_100048,West Bengal,Kolkata,Water Supply,Broken Pipeline,52.0,High,No Planned Project,0.0,250,7
REQ_100049,West Bengal,Hooghly,Digital & DPI,Digital Payment Failures,245.0,High,No Planned Project,0.0,148,7
REQ_100050,Telangana,Rangareddy,Sanitation & Waste,Clogged Drainage,106.0,Low,No Planned Project,0.0,285,5
REQ_100051,West Bengal,Hooghly,Water Supply,Irregular Supply,65.0,Critical,No Planned Project,0.0,16,8
REQ_100052,Karnataka,Hubli-Dharwad,Power & Energy,No Electricity Access,129.0,Medium,Under Construction,38665375.0,1000,2
REQ_100053,Tamil Nadu,Salem,Roads & Transport,Potholes,352.0,High,Pipeline,3238909.0,56,5
REQ_100054,Telangana,Medchal-Malkajgiri,Water Supply,Broken Pipeline,423.0,High,Under Construction,16191490.0,257,3
REQ_100055,Tamil Nadu,Chennai,Water Supply,Irregular Supply,292.0,,No Planned Project,0.0,357,6
REQ_100056,Gujarat,Ahmedabad,Digital & DPI,Digital Payment Failures,235.0,High,Under Construction,23541559.0,347,3
REQ_100057,maharashtra,Pune,Sanitation & Waste,Open Garbage Dumps,391.0,High,No Planned Project,0.0,338,7
REQ_100058,Karnataka,Hubli-Dharwad,Sanitation & Waste,Bio-waste Mismanagement,9325.0,Medium,No Planned Project,0.0,285,6
REQ_100059,Bihar,Patna,Roads & Transport,Missing Streetlights,221.0,Medium,No Planned Project,0.0,328,6
REQ_100060,Karnataka,Mysuru,Power & Energy,Hanging Power Cables,135.0,Critical,No Planned Project,0.0,88,8
REQ_100061,Telangana ,Hyderabad,Roads & Transport,Unpaved Roads,940.0,Medium,No Planned Project,0.0,138,8
REQ_100062,Bihar,Bhagalpur,Water Supply,Contaminated Water,485.0,High,Pipeline,4898392.0,231,5
REQ_100063,Maharashtra,Nagpur,Water Supply,Low Water Pressure,227.0,Medium,No Planned Project,0.0,252,6
REQ_100064,Telangana,Warangal,Sanitation & Waste,Bio-waste Mismanagement,596.0,High,Under Construction,32755652.0,220,5
REQ_100065,Uttar Pradesh,Varanasi,Power & Energy,Frequent Load Shedding,160.0,Medium,No Planned Project,0.0,308,6
REQ_100066,Tamil Nadu,Coimbatore,Digital & DPI,No Public Wi-Fi Spot,477.0,Critical,Completed,6701469.0,67,4
REQ_100067,Maharashtra,Nagpur,Power & Energy,No Electricity Access,139.0,High,Under Construction,16432856.0,241,3
REQ_100068,Tamil Nadu,Madurai,Water Supply,Low Water Pressure,295.0,High,Pipeline,4612320.0,23,5
REQ_100069,WEST BENGAL,North 24 Parganas,Digital & DPI,Digital Payment Failures,87.0,Medium,No Planned Project,,155,6
REQ_100070,Uttar Pradesh,Varanasi,Power & Energy,Frequent Load Shedding,111.0,High,Under Construction,,42,3
REQ_100071,Uttar Pradesh,Lucknow,Power & Energy,No Electricity Access,246.0,Low,Pipeline,1240589.0,24,3
REQ_100072,Maharashtra,Nashik,Digital & DPI,CSC Center Inaccessible,363.0,Low,Pipeline,744709.0,319,3
REQ_100073,Uttar Pradesh,Kanpur Nagar,Water Supply,Low Water Pressure,212.0,Medium,No Planned Project,,363,6
REQ_100074,Bihar,Darbhanga,Power & Energy,Hanging Power Cables,97.0,Critical,Pipeline,4048863.0,8,6
REQ_100075,Uttar Pradesh,Kanpur Nagar,Digital & DPI,CSC Center Inaccessible,123.0,Medium,Pipeline,4868992.0,273,4
REQ_100076,Tamil Nadu,Coimbatore,Water Supply,Contaminated Water,549.0,Medium,Pipeline,2220036.0,33,6
REQ_100077,Tamil Nadu,Trichy,Digital & DPI,Poor Telecom Connectivity,789.0,High,Under Construction,20116361.0,10,5
REQ_100078,Telangana,Warangal,Digital & DPI,Digital Payment Failures,610.0,High,Completed,39337845.0,229,5
REQ_100079,Tamil Nadu,Madurai,Power & Energy,Frequent Load Shedding,222.0,High,Completed,42681111.0,139,3
REQ_100080,Telangana,Nizamabad,Water Supply,Low Water Pressure,480.0,High,Completed,24705379.0,51,3
REQ_100081,Tamil Nadu,Coimbatore,Power & Energy,Faulty Transformer,192.0,Low,Under Construction,21076738.0,114,1
REQ_100082,Bihar,Muzaffarpur,Roads & Transport,Traffic Bottleneck,,Medium,Pipeline,2108238.0,328,4
REQ_100083,Gujarat,Ahmedabad,Roads & Transport,Missing Streetlights,170.0,Critical,No Planned Project,0.0,157,8
REQ_100084,Telangana,Medchal-Malkajgiri,Water Supply,Low Water Pressure,824.0,Critical,Pipeline,2760687.0,84,8
REQ_100085,Karnataka,Bengaluru Urban,Digital & DPI,No Public Wi-Fi Spot,815.0,Medium,Pipeline,3512398.0,290,6
REQ_100086,West Bengal,South 24 Parganas,Power & Energy,No Electricity Access,167.0,Low,Under Construction,38365663.0,360,1
REQ_100087,Maharashtra,Thane,Power & Energy,Frequent Load Shedding,666.0,Medium,No Planned Project,0.0,118,8
REQ_100088,Tamil Nadu,Madurai,Water Supply,Low Water Pressure,587.0,Medium,Under Construction,45458383.0,136,4
REQ_100089,Uttar Pradesh,Lucknow,Water Supply,Irregular Supply,353.0,Medium,No Planned Project,0.0,257,6
REQ_100090,Gujarat,Surat,Roads & Transport,Potholes,1052.0,Medium,Under Construction,41489008.0,283,4
REQ_100091,Tamil Nadu,Salem,Sanitation & Waste,Lack of Public Toilets,149.0,Low,Completed,40285550.0,207,1
REQ_100092,Uttar Pradesh,Varanasi,Water Supply,Low Water Pressure,886.0,Low,Completed,2382110.0,177,3
REQ_100093,West Bengal,North 24 Parganas,Sanitation & Waste,Open Garbage Dumps,250.0,Medium,No Planned Project,0.0,276,6
REQ_100094,West Bengal,Howrah,Water Supply,Broken Pipeline,463.0,Medium,No Planned Project,0.0,222,6
REQ_100095,West Bengal,Howrah,Digital & DPI,Digital Payment Failures,874.0,Medium,Under Construction,3419125.0,47,4
REQ_100096,Uttar Pradesh,Agra,Digital & DPI,Digital Payment Failures,189.0,Medium,Under Construction,33378510.0,278,2
REQ_100097,Tamil Nadu,Coimbatore,Roads & Transport,Traffic Bottleneck,837.0,Medium,Pipeline,4716277.0,22,6
REQ_100098,West Bengal,South 24 Parganas,Roads & Transport,Unpaved Roads,291.0,High,Completed,19560294.0,195,3
REQ_100099,Bihar,Gaya,Sanitation & Waste,Clogged Drainage,25.0,High,Pipeline,2530352.0,126,5
REQ_100100,Telangana,Medchal-Malkajgiri,Water Supply,Broken Pipeline,384.0,Critical,No Planned Project,0.0,335,8
REQ_100101,Uttar Pradesh,Prayagraj,Power & Energy,Frequent Load Shedding,258.0,Critical,Under Construction,,242,4
REQ_100102,Uttar Pradesh,Prayagraj,Roads & Transport,Missing Streetlights,81.0,Medium,Pipeline,601169.0,77,4
REQ_100103,Tamil Nadu,Madurai,Power & Energy,Frequent Load Shedding,379.0,High,No Planned Project,147557.0,79,7
REQ_100104,Uttar Pradesh,Prayagraj,Power & Energy,Frequent Load Shedding,286.0,Medium,No Planned Project,,312,6
REQ_100105,Uttar Pradesh,Agra,Water Supply,Contaminated Water,182.0,Medium,No Planned Project,0.0,22,6
REQ_100106,West Bengal,Hooghly,Sanitation & Waste,Lack of Public Toilets,155.0,High,Completed,25298329.0,204,3
REQ_100107,Tamil Nadu,Trichy,Water Supply,Low Water Pressure,867.0,Medium,No Planned Project,0.0,112,8
REQ_100108,West Bengal,South 24 Parganas,Roads & Transport,Potholes,228.0,Medium,Pipeline,2684544.0,81,4
REQ_100109,Telangana,Medchal-Malkajgiri,Power & Energy,Faulty Transformer,607.0,Medium,No Planned Project,0.0,169,8
REQ_100110,Gujarat,Surat,Water Supply,,1136.0,Medium,Completed,24309380.0,50,4
REQ_100111,Telangana,Nizamabad,Water Supply,Broken Pipeline,229.0,Medium,No Planned Project,,330,6
REQ_100112,Gujarat,,Water Supply,Irregular Supply,245.0,High,No Planned Project,0.0,237,7
REQ_100113,West Bengal,Kolkata,Roads & Transport,Potholes,287.0,Low,Pipeline,3860286.0,171,3
REQ_100114,Telangana,Hyderabad,Sanitation & Waste,Lack of Public Toilets,258.0,High,No Planned Project,0.0,169,7
REQ_100115,Tamil Nadu,Chennai,Water Supply,Contaminated Water,77.0,Critical,No Planned Project,0.0,107,8
REQ_100116,Maharashtra,Pune,Roads & Transport,Unpaved Roads,187.0,Medium,Under Construction,36673172.0,242,2
REQ_100117,West Bengal,North 24 Parganas,Power & Energy,No Electricity Access,207.0,Medium,Pipeline,826436.0,91,4
REQ_100118,Gujarat,Rajkot,Digital & DPI,Digital Payment Failures,458.0,High,No Planned Project,191543.0,8,7
REQ_100119,Bihar,Darbhanga,Roads & Transport,Missing Streetlights,416.0,High,Pipeline,1888381.0,18,5
REQ_100120,Gujarat,Ahmedabad,Digital & DPI,No Public Wi-Fi Spot,128.0,High,Under Construction,33280356.0,350,3
REQ_100121,Bihar,Bhagalpur,Water Supply,Low Water Pressure,885.0,High,Pipeline,4424752.0,187,7
REQ_100122,Uttar Pradesh,Agra,Water Supply,Low Water Pressure,180.0,High,Pipeline,2176077.0,153,5
REQ_100123,Telangana,Nizamabad,Roads & Transport,Potholes,587.0,Critical,Pipeline,2730499.0,51,8
REQ_100124,Bihar,Bhagalpur,Digital & DPI,Digital Payment Failures,392.0,Medium,Pipeline,1539409.0,129,4
REQ_100125,Gujarat,Bhavnagar,Water Supply,Contaminated Water,579.0,High,No Planned Project,,358,9
REQ_100126,Uttar Pradesh ,Varanasi,Power & Energy,No Electricity Access,895.0,Medium,Under Construction,34255821.0,210,4
REQ_100127,Maharashtra,Nashik,Sanitation & Waste,,528.0,Medium,Under Construction,23540549.0,177,4
REQ_100128,Tamil Nadu,,Sanitation & Waste,Clogged Drainage,186.0,Critical,Pipeline,2383794.0,141,6
REQ_100129,Tamil Nadu ,Chennai,Water Supply,Broken Pipeline,78.0,Low,Completed,31512625.0,345,1
REQ_100130,Tamil Nadu,,Digital & DPI,CSC Center Inaccessible,201.0,Low,Pipeline,891357.0,320,3
REQ_100131,Bihar,Muzaffarpur,Water Supply,Irregular Supply,696.0,High,No Planned Project,0.0,8,9
REQ_100132,Maharashtra,Nagpur,Digital & DPI,Digital Payment Failures,,High,Pipeline,1693566.0,147,7
REQ_100133,Bihar,Patna,Power & Energy,Hanging Power Cables,961.0,High,No Planned Project,0.0,62,9
REQ_100134,Telangana,Rangareddy,Digital & DPI,No Public Wi-Fi Spot,522.0,High,No Planned Project,0.0,309,9
REQ_100135,Bihar ,Bhagalpur,Water Supply,Low Water Pressure,107.0,High,Pipeline,2570843.0,113,5
REQ_100136,Maharashtra,Pune,Power & Energy,Frequent Load Shedding,276.0,High,Pipeline,1139099.0,361,5
REQ_100137,Maharashtra,Thane,Roads & Transport,Missing Streetlights,244.0,High,No Planned Project,0.0,361,7
REQ_100138,Telangana,Hyderabad,Sanitation & Waste,Lack of Public Toilets,526.0,Medium,Pipeline,2369180.0,3,6
REQ_100139,Maharashtra,Nagpur,Water Supply,Contaminated Water,240.0,High,Under Construction,11665158.0,29,3
REQ_100140,Gujarat,Bhavnagar,Water Supply,Broken Pipeline,440.0,High,Pipeline,4999136.0,80,5
REQ_100141,Maharashtra,Pune,Water Supply,Irregular Supply,479.0,Medium,No Planned Project,0.0,62,6
REQ_100142,Tamil Nadu,Salem,Power & Energy,Hanging Power Cables,765.0,Low,Under Construction,23334495.0,85,3
REQ_100143,Gujarat,Ahmedabad,Roads & Transport,Traffic Bottleneck,333.0,Medium,Under Construction,48407134.0,238,2
REQ_100144,Gujarat,Vadodara,Digital & DPI,No Public Wi-Fi Spot,189.0,High,No Planned Project,167711.0,171,7
REQ_100145,Telangana,Nizamabad,Roads & Transport,Traffic Bottleneck,292.0,High,No Planned Project,0.0,270,7
REQ_100146,Karnataka,Belagavi,Power & Energy,Frequent Load Shedding,691.0,,Completed,8985707.0,280,4
REQ_100147,Karnataka,Mysuru,Water Supply,Broken Pipeline,300.0,Critical,Under Construction,46391754.0,222,4
REQ_100148,Maharashtra,Pune,Sanitation & Waste,Clogged Drainage,336.0,Medium,Completed,2263037.0,248,2
REQ_100149,Gujarat,Vadodara,Water Supply,Low Water Pressure,,Low,Under Construction,8627613.0,289,1
REQ_100150,Karnataka,Mysuru,Digital & DPI,CSC Center Inaccessible,438.0,Medium,No Planned Project,0.0,342,6
REQ_100151,Karnataka,Belagavi,Sanitation & Waste,Open Garbage Dumps,264.0,Low,Pipeline,2730230.0,62,3
REQ_100152,Maharashtra,Nashik,Water Supply,Low Water Pressure,690.0,Medium,No Planned Project,0.0,62,8
REQ_100153,Karnataka,Bengaluru Urban,Sanitation & Waste,Bio-waste Mismanagement,57.0,Medium,No Planned Project,,14,6
REQ_100154,Bihar,Darbhanga,Roads & Transport,Traffic Bottleneck,432.0,Medium,Under Construction,43572373.0,96,2
REQ_100155,Uttar Pradesh,Varanasi,Power & Energy,Faulty Transformer,737.0,High,Pipeline,3328685.0,62,7
REQ_100156,Telangana,Warangal,Water Supply,Low Water Pressure,513.0,High,Pipeline,2198693.0,26,7
REQ_100157,Uttar Pradesh,Lucknow,Digital & DPI,Poor Telecom Connectivity,,Medium,Under Construction,,253,4
REQ_100158,Maharashtra,Mumbai Suburban,Roads & Transport,Traffic Bottleneck,,Medium,No Planned Project,0.0,5,6
REQ_100159,Tamil Nadu,Madurai,Water Supply,Broken Pipeline,306.0,Medium,Pipeline,2420374.0,204,4
REQ_100160,Telangana,Rangareddy,Roads & Transport,Traffic Bottleneck,162.0,Low,Pipeline,2234268.0,29,3
REQ_100161,Maharashtra,Pune,Digital & DPI,Digital Payment Failures,512.0,Critical,Completed,33104828.0,153,6
REQ_100162,Gujarat,Ahmedabad,Water Supply,Broken Pipeline,19.0,Medium,No Planned Project,0.0,80,6
REQ_100163,tamil nadu,Coimbatore,Digital & DPI,Digital Payment Failures,128.0,High,Under Construction,26834392.0,340,3
REQ_100164,Uttar Pradesh,Prayagraj,Sanitation & Waste,Bio-waste Mismanagement,551.0,High,No Planned Project,0.0,75,9
REQ_100165,Maharashtra,Mumbai Suburban,Digital & DPI,Poor Telecom Connectivity,503.0,Low,Pipeline,1202084.0,56,5
REQ_100166,Gujarat,Ahmedabad,Sanitation & Waste,Lack of Public Toilets,477.0,Medium,Pipeline,2124334.0,32,4
REQ_100167,Telangana,Warangal,Water Supply,Broken Pipeline,209.0,Medium,Under Construction,18701401.0,240,2
REQ_100168,Telangana,Hyderabad,Sanitation & Waste,Clogged Drainage,168.0,Medium,No Planned Project,0.0,136,6
REQ_100169,West Bengal,Hooghly,Water Supply,Irregular Supply,255.0,Medium,Under Construction,,200,2
REQ_100170,Gujarat,Surat,Water Supply,Contaminated Water,527.0,Medium,No Planned Project,388124.0,292,8
REQ_100171,Bihar,Gaya,Power & Energy,Hanging Power Cables,208.0,High,No Planned Project,0.0,355,7
REQ_100172,Karnataka,Mangaluru,Water Supply,Broken Pipeline,628.0,Medium,Under Construction,8911650.0,297,4
REQ_100173,Tamil Nadu,Salem,Sanitation & Waste,Open Garbage Dumps,439.0,Medium,Under Construction,12555382.0,109,2
REQ_100174,Gujarat,Surat,Power & Energy,Faulty Transformer,,Medium,No Planned Project,0.0,187,6
REQ_100175,West Bengal,South 24 Parganas,Power & Energy,No Electricity Access,41875.0,High,No Planned Project,0.0,148,9
REQ_100176,KARNATAKA,Belagavi,Water Supply,Low Water Pressure,600.0,High,No Planned Project,0.0,346,9
REQ_100177,Karnataka,Belagavi,Digital & DPI,CSC Center Inaccessible,332.0,High,Pipeline,,356,5
REQ_100178,Maharashtra,Thane,Digital & DPI,Digital Payment Failures,356.0,Medium,No Planned Project,,275,6
REQ_100179,Karnataka,Mysuru,Power & Energy,No Electricity Access,224.0,High,Completed,,342,3
REQ_100180,Bihar,Darbhanga,Water Supply,,96.0,Medium,No Planned Project,0.0,140,6
REQ_100181,Telangana,Medchal-Malkajgiri,Digital & DPI,CSC Center Inaccessible,529.0,Medium,No Planned Project,0.0,3,8
REQ_100182,West Bengal,South 24 Parganas,Water Supply,Low Water Pressure,554.0,High,Under Construction,37708165.0,117,5
REQ_100183,KARNATAKA,Mangaluru,Water Supply,Low Water Pressure,561.0,Medium,Pipeline,2355563.0,69,6
REQ_100184,Maharashtra,Nagpur,Power & Energy,,43.0,Low,Completed,21616025.0,53,1
REQ_100185,Bihar,Bhagalpur,Power & Energy,Frequent Load Shedding,132.0,High,Completed,4032576.0,167,3
REQ_100186,Uttar Pradesh,Prayagraj,Roads & Transport,Missing Streetlights,250.0,High,Under Construction,36770164.0,7,3
REQ_100187,Telangana,Warangal,Digital & DPI,Poor Telecom Connectivity,,Medium,Pipeline,2152705.0,122,4
REQ_100188,Telangana,Hyderabad,Digital & DPI,,231.0,High,No Planned Project,0.0,291,7
REQ_100189,West Bengal,North 24 Parganas,Digital & DPI,Digital Payment Failures,1036.0,High,Pipeline,,358,7
REQ_100190,telangana,Medchal-Malkajgiri,Sanitation & Waste,Bio-waste Mismanagement,389.0,Medium,Pipeline,,206,4
REQ_100191,Karnataka,Bengaluru Urban,Water Supply,Low Water Pressure,476.0,Medium,Completed,30416841.0,273,2
REQ_100192,Maharashtra,Nagpur,Power & Energy,Frequent Load Shedding,993.0,Critical,No Planned Project,0.0,276,10
REQ_100193,Telangana,Hyderabad,Digital & DPI,Poor Telecom Connectivity,484.0,Medium,Pipeline,1760264.0,34,4
REQ_100194,Telangana,Nizamabad,Roads & Transport,Missing Streetlights,295.0,,Pipeline,4306413.0,126,4
REQ_100195,Uttar Pradesh,Prayagraj,Digital & DPI,Digital Payment Failures,349.0,Low,No Planned Project,0.0,286,5
REQ_100196,Uttar Pradesh,Kanpur Nagar,Water Supply,Low Water Pressure,,Critical,No Planned Project,0.0,114,8
REQ_100197,Tamil Nadu,Salem,Water Supply,Contaminated Water,452.0,High,Under Construction,22251238.0,296,3
REQ_100198,Bihar,Gaya,Power & Energy,Frequent Load Shedding,268.0,Low,Under Construction,28351030.0,312,1
REQ_100199,Karnataka,Bengaluru Urban,Sanitation & Waste,Lack of Public Toilets,434.0,High,No Planned Project,0.0,91,7
REQ_100200,Telangana,Hyderabad,Power & Energy,No Electricity Access,,High,Pipeline,4115879.0,125,7
REQ_100201,Gujarat,Ahmedabad,Digital & DPI,CSC Center Inaccessible,107.0,Critical,Under Construction,24649336.0,18,4
REQ_100202,Telangana,Medchal-Malkajgiri,Roads & Transport,Traffic Bottleneck,94.0,High,Completed,40144357.0,88,3
REQ_100203,Maharashtra,Mumbai Suburban,Power & Energy,Hanging Power Cables,1222.0,High,No Planned Project,0.0,224,9
REQ_100204,Tamil Nadu,Chennai,Sanitation & Waste,Open Garbage Dumps,559.0,Medium,Pipeline,3301761.0,359,6
REQ_100205,Bihar,Muzaffarpur,Power & Energy,Frequent Load Shedding,719.0,Medium,Under Construction,8523952.0,282,4
REQ_100206,Gujarat,Ahmedabad,Water Supply,Low Water Pressure,1115.0,High,No Planned Project,0.0,162,9
REQ_100207,Tamil Nadu,Salem,Digital & DPI,Digital Payment Failures,479.0,Medium,Under Construction,2688022.0,28,2
REQ_100208,West Bengal,North 24 Parganas,Digital & DPI,Digital Payment Failures,185.0,High,Under Construction,20606140.0,261,3
REQ_100209,Bihar,Muzaffarpur,Digital & DPI,No Public Wi-Fi Spot,149.0,High,Completed,44964210.0,362,3
REQ_100210,Telangana,Warangal,Digital & DPI,CSC Center Inaccessible,338.0,Critical,No Planned Project,0.0,338,8
REQ_100211,Telangana,Medchal-Malkajgiri,Digital & DPI,Digital Payment Failures,633.0,Medium,No Planned Project,0.0,264,8
REQ_100212,Bihar,Darbhanga,Digital & DPI,Poor Telecom Connectivity,579.0,Low,Pipeline,,235,5
REQ_100213,Telangana,Medchal-Malkajgiri,Roads & Transport,,756.0,,Under Construction,13684757.0,162,3
REQ_100214,Karnataka,Belagavi,Sanitation & Waste,Bio-waste Mismanagement,549.0,Medium,Under Construction,42739364.0,55,4
REQ_100215,Bihar,Darbhanga,Digital & DPI,No Public Wi-Fi Spot,1020.0,Critical,Under Construction,37589060.0,278,6
REQ_100216,Tamil Nadu,Trichy,Sanitation & Waste,Bio-waste Mismanagement,1351.0,High,Pipeline,3731722.0,87,7
REQ_100217,Bihar,Gaya,Digital & DPI,No Public Wi-Fi Spot,159.0,High,No Planned Project,0.0,329,7
REQ_100218,Gujarat,,Power & Energy,Frequent Load Shedding,671.0,Medium,Pipeline,4569543.0,53,6
REQ_100219,Telangana,Warangal,Digital & DPI,Poor Telecom Connectivity,425.0,High,No Planned Project,0.0,311,7
REQ_100220,Karnataka,Mysuru,Water Supply,Contaminated Water,832.0,High,Under Construction,41107762.0,123,5
REQ_100221,Karnataka,Bengaluru Urban,Roads & Transport,Potholes,,Medium,Pipeline,1480405.0,334,6
REQ_100222,West Bengal,,Power & Energy,Frequent Load Shedding,79.0,High,Pipeline,1907192.0,340,5
REQ_100223,Tamil Nadu,Trichy,Power & Energy,No Electricity Access,1489.0,Low,Under Construction,28127156.0,41,3
REQ_100224,Uttar Pradesh,Varanasi,Water Supply,Low Water Pressure,610.0,Low,Pipeline,1564595.0,216,5
REQ_100225,Uttar Pradesh,Agra,Digital & DPI,Poor Telecom Connectivity,364.0,Low,Under Construction,33006588.0,73,1
REQ_100226,Bihar,Bhagalpur,Roads & Transport,Traffic Bottleneck,,High,Under Construction,34851102.0,235,3
REQ_100227,West Bengal,Howrah,Power & Energy,Faulty Transformer,654.0,Medium,No Planned Project,,71,8
REQ_100228,Maharashtra,Mumbai Suburban,Roads & Transport,Potholes,1161.0,High,No Planned Project,0.0,229,9
REQ_100229,Bihar,,Power & Energy,Hanging Power Cables,129.0,Low,No Planned Project,0.0,196,5
REQ_100230,West Bengal,Kolkata,Digital & DPI,Digital Payment Failures,44.0,Medium,No Planned Project,0.0,331,6
